REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"83004103","19","281180","4655980"
"83004104","19","281600","4656130"
"83004105","19","284860","4661800"
"83004106","19","282550","4661230"
"83004108","19","280180","4699580"
"83004109","19","280820","4662970"
"83004110","19","281300","4663700"
"83004111","19","282640","4661530"
"83004112","19","282560","4661080"
"83004113","19","282400","4661180"
"83004116","19","282230","4661650"
"83004117","19","282410","4661370"
"79000323","19","420380","4614420"
"84002914","19","284310","4657660"
"83004123","19","284000","4657840"
"83004125","19","282400","4661220"
"83004127","19","281740","4663150"
"83004129","19","278750","4656330"
"83004131","19","287890","4661600"
"83004132","19","281000","4657330"
"83004134","19","280630","4661830"
"83004136","19","283990","4660280"
"83004137","19","282470","4661370"
"83004138","19","281690","4659720"
"83004139","19","282600","4661130"
"83004140","19","280350","4663100"
"83004143","19","282520","4661290"
"83004144","19","282470","4661270"
"83004146","19","278680","4663950"
"84002922","19","273670","4712650"
"83004148","19","282740","4660730"
"83004128","19","283550","4655620"
"83000619","19","316200","4636940"
"83000691","19","314120","4629520"
"83000738","18","699100","4664040"
"83000760","18","698900","4663860"
"83000826","19","326460","4693120"
"83004284","19","320570","4679100"
"83004285","19","328600","4687425"
"83004288","18","699480","4663410"
"83004291","18","698820","4663860"
"83004293","19","325220","4693460"
"83004293","19","325325","4693325"
"82001895","18","641260","4690840"
"82001897","18","653020","4718570"
"82001899","18","643644","4701060"
"75000239","19","391890","4617090"
"82001904","19","288035","4695600"
"82001906","19","328720","4692380"
"76000225","19","406440","4622320"
"82001907","19","324540","4724590"
"82001910","18","689480","4691330"
"82001911","18","697870","4693560"
"79000344","19","341380","4709910"
"79000347","18","698990","4663920"
"79000354","19","325120","4693740"
"79000357","19","316780","4690460"
"79000360","19","301850","4702700"
"79000361","19","324400","4702100"
"78000422","19","419910","4615110"
"79000366","19","347540","4664100"
"79000370","19","330110","4690920"
"85000318","19","330900","4684580"
"82001914","18","687160","4665080"
"79000368","19","330430","4690800"
"82001915","19","342845","4714670"
"74000360","19","400258","4621422"
"76000227","19","378160","4622940"
"78000426","19","309610","4647140"
"75000243","19","339000","4611110"
"78000428","19","306640","4645320"
"82001916","19","324970","4694300"
"82001917","19","328060","4692770"
"75000244","19","322580","4699760"
"78000431","19","339200","4612730"
"72000120","19","341460","4609554"
"71000081","19","320792","4699049"
"78000433","19","314010","4706860"
"72000121","19","417910","4626470"
"82001919","19","328780","4692950"
"82001922","19","326620","4692600"
"82001926","19","325760","4693280"
"78000435","19","325890","4693160"
"72000124","19","325290","4694420"
"75000249","19","326620","4692200"
"75000250","19","339460","4610070"
"75000251","19","339340","4610840"
"77000167","19","340000","4610600"
"71000083","19","339685","4610920"
"78000438","19","315100","4623620"
"74000365","19","309092","4631453"
"77000169","19","366130","4590160"
"80000442","19","329960","4690600"
"80000445","19","329860","4690520"
"80000446","19","330020","4690640"
"80000448","19","330000","4690600"
"80000450","19","330040","4690690"
"80000451","19","329940","4690700"
"80000453","19","330000","4690740"
"80000455","19","330040","4691040"
"80000460","19","330080","4690710"
"80000462","19","330140","4690600"
"80000465","19","321320","4690680"
"80000466","19","261260","4659030"
"76000237","18","634960","4672120"
"80000468","19","261210","4659000"
"80000470","19","261260","4659030"
"81000109","19","320930","4619100"
"80000472","19","350460","4664760"
"80000474","18","700280","4664340"
"80000475","18","697520","4668400"
"80000476","18","701520","4663030"
"81000112","19","312510","4686560"
"81000113","19","338850","4670770"
"81000114","19","340080","4675440"
"81000115","19","326550","4691140"
"81000116","19","329760","4702230"
"81000117","19","366760","4724900"
"81000118","19","339810","4703010"
"78000441","19","325480","4693200"
"81000120","19","394950","4612630"
"81000122","19","341420","4610930"
"78000442","19","325570","4693110"
"82001933","19","324080","4693980"
"80000478","19","269700","4681400"
"82001934","19","324250","4693860"
"80000479","19","266060","4680720"
"80000480","19","266230","4680530"
"80000481","19","266850","4680940"
"80000482","19","266870","4680850"
"80000483","19","267880","4680800"
"82001935","19","322800","4693840"
"82001936","19","326710","4692980"
"82001937","19","324530","4693940"
"75000247","19","401950","4656180"
"75000248","19","401880","4656070"
"72000127","18","645181","4717885"
"80000485","19","267980","4680390"
"80000486","19","267950","4680310"
"80000489","19","263900","4680140"
"80000491","19","268270","4679930"
"80000492","19","269000","4679460"
"80000493","19","269340","4680180"
"80000494","19","262220","4679350"
"80000495","19","269310","4679300"
"80000497","19","269230","4683640"
"80000499","19","268880","4683460"
"80000503","18","697300","4717950"
"80000505","18","707340","4657470"
"76000238","19","325940","4692720"
"82001940","19","323710","4694270"
"76000239","18","643980","4684750"
"80000509","19","267680","4688120"
"82001941","19","324410","4693800"
"80000513","19","269380","4686560"
"73000291","18","641240","4690680"
"80000519","19","266340","4685030"
"80000522","19","270540","4684590"
"75000258","19","300580","4683090"
"76000241","19","289300","4720140"
"72000131","18","654430","4727720"
"79000375","19","256100","4715840"
"73000296","18","655210","4729100"
"78000429","19","324020","4696380"
"73000278","19","312324","4709026"
"78000440","19","325620","4692990"
"79000343","19","345040","4730050"
"79000349","18","698970","4663990"
"79000346","18","697510","4675390"
"79000348","18","698820","4663900"
"79000358","19","304495","4699995"
"72000135","18","699309","4663569"
"79000362","19","314960","4689760"
"77000177","18","643700","4700940"
"73000289","19","303680","4716560"
"77000175","19","302960","4704220"
"73000288","19","325176","4693321"
"73000285","19","313860","4714340"
"76000245","18","699820","4663740"
"73000290","19","304240","4705820"
"80000534","19","268500","4681590"
"80000537","19","268550","4682030"
"80000538","19","268240","4681640"
"77000178","19","317400","4701040"
"80000540","19","268310","4682020"
"74000372","19","334510","4674400"
"80000542","19","279110","4681880"
"76000252","19","318420","4699600"
"78000446","19","334390","4674380"
"80000545","19","270050","4681800"
"80000547","19","267110","4681290"
"80000548","19","267240","4681530"
"73000302","19","307290","4722560"
"82001942","19","325660","4694600"
"82001943","19","324650","4695530"
"75000267","19","326000","4698370"
"75000268","19","326400","4698180"
"75000269","19","325210","4698580"
"76000258","19","325330","4698440"
"80000551","19","267450","4681400"
"80000553","19","269560","4681220"
"75000275","19","326290","4698210"
"80000555","19","269580","4683920"
"82001945","19","326290","4692860"
"75000280","19","327300","4697900"
"75000282","19","325450","4698480"
"75000283","19","326340","4698240"
"82001900","19","339280","4612510"
"82001902","19","366660","4723860"
"81000108","19","329530","4698000"
"81000110","19","343380","4685250"
"73000277","19","320900","4618560"
"80000586","19","269060","4682860"
"80000587","19","269200","4683340"
"82001947","19","325200","4695210"
"80000593","19","271200","4682960"
"82001949","19","324860","4693960"
"80000595","19","267250","4682600"
"80000597","19","267710","4682640"
"80000598","19","268970","4683190"
"82001951","19","326990","4693180"
"80000599","19","268630","4682720"
"82001952","19","324580","4695380"
"76000266","19","319740","4685480"
"80000601","19","268460","4682540"
"80000602","19","268170","4683160"
"76000268","19","324920","4689420"
"76000269","19","351660","4677380"
"73000306","19","319200","4691340"
"82001953","19","328340","4692820"
"78000458","19","314180","4688220"
"76000272","19","327000","4692780"
"80000608","19","268700","4682380"
"85000497","19","327020","4709700"
"68000018","19","268220","4684180"
"80000606","19","268900","4682750"
"85000498","19","327700","4710220"
"80000609","19","268840","4682710"
"76000276","19","301520","4662650"
"80000610","19","268650","4682320"
"80000611","19","268640","4682290"
"82001954","19","325110","4695450"
"82001955","19","327560","4692500"
"71000080","19","298240","4703440"
"80000613","19","268770","4682640"
"82001956","19","323550","4693600"
"82001959","19","327530","4692440"
"82001961","19","325020","4695340"
"80000614","19","268900","4682380"
"82001962","19","326300","4692770"
"82001963","19","326180","4691840"
"80000617","19","269420","4682350"
"82001964","19","326980","4692320"
"82001965","19","324460","4693900"
"75000290","19","329400","4681080"
"73000308","19","325970","4677720"
"73000310","19","331930","4678810"
"75000270","19","325260","4698580"
"76000256","19","325590","4698900"
"72000139","19","325850","4698370"
"75000274","19","325320","4698560"
"78000456","19","307530","4688020"
"80000616","19","269420","4682580"
"71000091","18","699580","4669680"
"80000622","19","267440","4682840"
"75000295","19","324770","4693750"
"66000131","19","332460","4704000"
"80000625","19","267990","4681890"
"82001883","19","325430","4695200"
"78000467","19","278990","4699180"
"75000297","19","313640","4668120"
"76000293","19","254580","4668820"
"82001968","19","325880","4692980"
"78000469","18","727150","4719250"
"76000295","19","311050","4685180"
"73000313","19","331780","4688580"
"76000296","19","333020","4660680"
"77000193","19","332800","4660970"
"78000471","19","332690","4660940"
"82001970","19","326810","4692540"
"78000472","19","268890","4682880"
"80000632","19","267710","4681720"
"66000135","19","343970","4709240"
"80000635","19","267880","4681770"
"77000196","19","332840","4660340"
"78000474","19","332960","4660500"
"78000475","19","332920","4659560"
"66000139","19","340140","4722850"
"66000140","19","325360","4693410"
"73000322","19","330437","4691309"
"76000291","19","330980","4670380"
"75000262","19","400240","4621280"
"75000299","19","330670","4690690"
"82001971","19","326340","4692240"
"82001972","19","326360","4691720"
"82001973","19","326200","4692040"
"80000642","19","326620","4692200"
"74000392","19","330500","4691300"
"66000137","19","316590","4701850"
"72000148","19","418150","4613720"
"74000381","19","322430","4707670"
"78000477","19","362240","4655920"
"80000639","19","326300","4697460"
"82001975","19","326740","4691980"
"82001976","19","327280","4692800"
"80000644","19","312260","4707860"
"82001977","19","324480","4695080"
"80000647","19","308780","4682130"
"82001979","19","324620","4694400"
"82001981","19","326500","4692040"
"76000300","19","280790","4704640"
"82001982","19","326740","4692100"
"82001983","19","326740","4692100"
"82001985","19","325400","4694420"
"82001986","19","328600","4693060"
"82001987","19","324060","4695460"
"85000029","19","313420","4657790"
"82001988","19","323200","4693600"
"82001989","19","323900","4694320"
"66000142","19","362200","4646180"
